Participant,Item,Preview,Predictability,Condition,FFD,GD
y12kth,73,I,L,IL,163,401
y12kth,74,I,L,IL,307,307
y12kth,75,I,L,IL,217,328
y12kth,76,I,L,IL,276,276
y12kth,77,I,L,IL,NA,NA
y12kth,78,I,L,IL,238,594
y12kth,79,I,L,IL,NA,NA
y12kth,80,I,L,IL,354,354
y13zjx,1,I,H,IH,198,198
y13zjx,3,I,H,IH,153,153
y13zjx,5,I,H,IH,437,437
y13zjx,7,I,H,IH,NA,NA
y13zjx,8,I,H,IH,335,335
y13zjx,10,I,H,IH,363,363
y13zjx,11,I,H,IH,361,361
y13zjx,12,I,H,IH,237,237
y13zjx,14,I,H,IH,277,277
y13zjx,15,I,H,IH,NA,NA
y13zjx,16,I,H,IH,186,186
y13zjx,17,I,H,IH,NA,NA
y13zjx,19,I,H,IH,NA,NA
y13zjx,20,I,H,IH,205,205
y13zjx,21,V,H,VH,NA,NA
y13zjx,28,V,H,VH,165,165
y13zjx,30,V,H,VH,NA,NA
y13zjx,33,V,H,VH,NA,NA
y13zjx,34,V,H,VH,NA,NA
y13zjx,36,V,H,VH,NA,NA
y13zjx,37,V,H,VH,NA,NA
y13zjx,39,V,H,VH,284,284
y13zjx,40,V,H,VH,369,369
y13zjx,41,I,L,IL,NA,NA
y13zjx,42,I,L,IL,180,180
y13zjx,43,I,L,IL,NA,NA
y13zjx,45,I,L,IL,265,265
y13zjx,46,I,L,IL,NA,NA
y13zjx,47,I,L,IL,NA,NA
y13zjx,48,I,L,IL,NA,NA
y13zjx,49,I,L,IL,299,299
y13zjx,50,I,L,IL,NA,NA
y13zjx,51,I,L,IL,NA,NA
y13zjx,52,I,L,IL,NA,NA
y13zjx,53,I,L,IL,285,285
y13zjx,55,I,L,IL,351,351
y13zjx,60,I,L,IL,257,257
y13zjx,64,V,L,VL,NA,NA
y13zjx,65,V,L,VL,205,205
y13zjx,66,V,L,VL,NA,NA
y13zjx,67,V,L,VL,NA,NA
y13zjx,68,V,L,VL,NA,NA
y13zjx,70,V,L,VL,NA,NA
y13zjx,71,V,L,VL,175,175
y13zjx,72,V,L,VL,356,356
y13zjx,73,V,L,VL,552,552
y13zjx,74,V,L,VL,204,204
y13zjx,75,V,L,VL,176,176
y13zjx,77,V,L,VL,167,167
y13zjx,78,V,L,VL,180,180
y13zjx,79,V,L,VL,235,235
y15wrx,1,I,L,IL,NA,NA
y15wrx,3,I,L,IL,139,139
y15wrx,7,I,L,IL,254,254
y15wrx,8,I,L,IL,207,207
